UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ALA (1=6) MAMÁ LUCYFER ARIA LGG+REY DAVID(Zon),@RealLuciferLGG,2021-01-22T12:04:42.000Z,"#TwitterEsPanistaQuote Tweet
324.cat
@324cat
 · Jan 22
Biden redecora el Despatx Oval a gran velocitat. Entre les novetats, destaquen els bustos de Martin Luther King, Rosa Parks o el sindicalista hispà César Chávez i que ha tret el botó de Coca-Cola, que hi havia col·locat Trump https://bit.ly/3qHncDX",,,,,"['https://pbs.twimg.com/profile_images/1053300405642412032/idaQc_hX_normal.jpg', 'https://pbs.twimg.com/media/EsVWgiwXEAAQIlG?format=jpg&name=small']",https://twitter.com/RealLuciferLGG/status/1352587994558029824
OneHundredFires,@nieguenlo,2021-01-22T12:04:39.000Z,"#TwitterEsPanista

Las lágrimas chairas son lo mejor después de oírlos chillar como puercos. 

Lo más ridículo es que se van en contra de una plataforma en la que han hecho su mayor y hasta ahora mejor movilización digital, aunque sucia, hay que reconocerlo.",,,1,2,[],https://twitter.com/nieguenlo/status/1352587981278892032
Adell,@Adell40508528,2021-01-22T12:04:07.000Z,"Replying to 
@SHRD92721941
 and 
@TwitterMexico#TwitterEsPanista",,,,,[],https://twitter.com/Adell40508528/status/1352587846201303040
Jose Luis,@jlmss27,2021-01-22T12:04:06.000Z,#TwitterEsPanista #twittercensura,,1,,,[],https://twitter.com/jlmss27/status/1352587842539515904
Josesa,@Josesarti2,2021-01-22T12:03:42.000Z,"Replying to 
@MEXICO1846
 @APlascenciia
 and 2 others#TwitterEsPanista y poco profesional",,,4,12,[],https://twitter.com/Josesarti2/status/1352587745248555008
El Apa,@el_apa_sonico,2021-01-22T12:03:41.000Z,"#TwitterEsPanista #TwitterCensura 

Se vuelve una bomba de tiempo la complicidad de 
@TwitterMexico
 con 
@AccionNacionalQuote Tweet
Katu Arkonada
@KatuArkonada
 · Jan 21
Baia baia, @HugoRodriguezN, Director de @TwitterMexico, dando talleres organizados por el Partido @AccionNacional

¿Quién lo hubiera imaginado? ",😳,,,,"['https://pbs.twimg.com/profile_images/1199386155566936066/YecFJaZU_normal.jpg', 'https://pbs.twimg.com/media/EsRWdbVWMAAsM9T?format=jpg&name=medium']",https://twitter.com/el_apa_sonico/status/1352587739921842178
Josesa,@Josesarti2,2021-01-22T12:03:18.000Z,"#TwitterEsPanista y poco profesional.
Es todo mi tweet.",,,,1,[],https://twitter.com/Josesarti2/status/1352587643171831815
Graciela Calle Q.,@GracielaCalleQ1,2021-01-22T12:03:09.000Z,"Llenate de Mas Conocimiento
#Biblia #Jesus #RicardoClaurePeñaloza #SinfoniasCelestiales #Profecias #33añosDeMinisterio #SalvarElAlmaHastaDelUltimoHombre Trump #방탄소년단슈가 #방탄소년단 #TwitterEsPanista #SEHUN #JacksonWang #JISOO #SABRINAISCOMING #aldebaran  
@RicardoClaurePQuote Tweet
Ricardo Claure Peñaloza
@RicardoClaureP
 · Jan 21
PEAC 0819 ""LAS SIETE EDADES O LAS SIETE DISPENSACIONES"" VOL. 8 PARTE 4 0641-VEP-08 #Biblia #Jesus #RicardoClaurePeñaloza #SinfoniasCelestiales #Profecias https://pscp.tv/w/cti7oDF4bmpydm9lR01Mall8MXlOeGFXZWdwcXZHajYzdZa6YV2h_g5_HCcBmU3CEJQeuAGR4zhPrxXp4X31…",💔 💧,,,1,['https://pbs.twimg.com/profile_images/1268981173918806017/eGapD6vU_normal.jpg'],https://twitter.com/GracielaCalleQ1/status/1352587603250470912
Eloy Casilla,@eucasillatmtex,2021-01-22T12:03:03.000Z,"Estas enfermo del alma?
#Biblia #Jesus #RicardoClaurePeñaloza #SinfoniasCelestiales #Profecias #33añosDeMinisterio #SalvarElAlmaHastaDelUltimoHombre Trump #방탄소년단슈가 #방탄소년단 #TwitterEsPanista #SEHUN #JacksonWang #JISOO #SABRINAISCOMING #aldebaran 
@RicardoClaurePQuote Tweet
Ricardo Claure Peñaloza
@RicardoClaureP
 · Jan 7
PEAC 0798 “CULTO DE TESTIMONIOS DE SANIDAD Y LIBERACIÓN DEL CUERPO Y DEL ALMA” CAPÍTULO 6 1430-VPE-06 #Biblia #Jesus #RicardoClaurePeñaloza #SinfoniasCelestiales #Profecias https://pscp.tv/w/csWdxDF4bmpydm9lR01Mall8MWt2SnBvWlBNUVpHRYGcSL-6adB6qerHQy8NqF0JMBy2UGr0qcJfFBbdwWuw…",😯 👉 💔 💧,,,,['https://pbs.twimg.com/profile_images/1268981173918806017/eGapD6vU_normal.jpg'],https://twitter.com/eucasillatmtex/status/1352587579338727426
Hell Jaibo,@RAM22510098,2021-01-22T12:02:45.000Z,"Replying to 
@HugoRodriguezN
 and 
@Malala#TwitterEsPanista",🦀,,,,[],https://twitter.com/RAM22510098/status/1352587505732882433
