id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1380180892933615624	1380068236558012424	2021-04-08 10:29:02 CDT	2021-04-08	10:29:02	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@guerrero1111 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180892933615624	False		0								[{'screen_name': 'guerrero1111', 'name': 'carlos rafael', 'id': '155998565'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180865498681345	1380068236558012424	2021-04-08 10:28:55 CDT	2021-04-08	10:28:55	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@paulinalavarado @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180865498681345	False		0								[{'screen_name': 'paulinalavarado', 'name': 'Paulina A Hernández 💫', 'id': '82754217'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180826500042754	1380068236558012424	2021-04-08 10:28:46 CDT	2021-04-08	10:28:46	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@DoolPlastic @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	2	1	2	[]	[]	https://twitter.com/drgarciafdez/status/1380180826500042754	False		0								[{'screen_name': 'DoolPlastic', 'name': 'Plastic Doll', 'id': '1250268990997315587'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180784997355520	1380068236558012424	2021-04-08 10:28:36 CDT	2021-04-08	10:28:36	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@Martinr27263083 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	1	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180784997355520	False		0								[{'screen_name': 'Martinr27263083', 'name': 'Unidos por Mexico', 'id': '998824956027985920'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180751493255170	1380068236558012424	2021-04-08 10:28:28 CDT	2021-04-08	10:28:28	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@aglio_friedrich @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	1	2	[]	[]	https://twitter.com/drgarciafdez/status/1380180751493255170	False		0								[{'screen_name': 'aglio_friedrich', 'name': 'Friedrich_Aglio', 'id': '1224703948612784128'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180717389422592	1380068236558012424	2021-04-08 10:28:20 CDT	2021-04-08	10:28:20	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@CachanillaU @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180717389422592	False		0								[{'screen_name': 'CachanillaU', 'name': 'LA ZOPILOTA APESTOSA', 'id': '1285443239705669632'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180690646470656	1380068236558012424	2021-04-08 10:28:13 CDT	2021-04-08	10:28:13	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@Gus94507875 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180690646470656	False		0								[{'screen_name': 'Gus94507875', 'name': 'Gus', 'id': '1293909661318410240'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180653749243914	1380068236558012424	2021-04-08 10:28:05 CDT	2021-04-08	10:28:05	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@JosAndreu1 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	1	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180653749243914	False		0								[{'screen_name': 'JosAndreu1', 'name': 'José Andreu', 'id': '1225176359158321156'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180612754071553	1380068236558012424	2021-04-08 10:27:55 CDT	2021-04-08	10:27:55	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@NormaBr83721542 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180612754071553	False		0								[{'screen_name': 'NormaBr83721542', 'name': 'NormaBradley', 'id': '957282819532775424'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180569758306316	1380068236558012424	2021-04-08 10:27:45 CDT	2021-04-08	10:27:45	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@javierdlg @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180569758306316	False		0								[{'screen_name': 'javierdlg', 'name': 'JavierDL', 'id': '185296579'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
