UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Notimex,@Notimex,2020-06-08T23:02:02.000Z," #VIDEO | «Detalles de la #conferencia de prensa de la Secretaría de #Bienestar (
@bienestarmx
). Hoy 8 de junio del 2020».
@Notimex_TV
• #Notimex1:02
832 views",🎥,1,2,5,[],https://twitter.com/Notimex/status/1270128983187881986
Notimex,@Notimex,2020-06-08T22:53:52.000Z,"#ProgramasBienestar | La expansión de la cobertura permitirá atender, de manera directa, a 366, 631 #beneficiarios de los diferentes programas de bienestar, informó 
@RabinSalazar
, director general del 
@bbienestarmx
.
 Alejandro Guzmán
@Notimex_TV
• #Notimex",📷,1,2,4,['https://pbs.twimg.com/media/EaBltrTXQAEzmYI?format=jpg&name=small'],https://twitter.com/Notimex/status/1270126931648950274
El Santo Flagelo,@santo_flagelo,2020-06-08T22:52:58.000Z,Esos de #Notimex cada vez se hunden más en las arenas movedizas resultantes de los deshechos de una cloaca ¿no?,,,,,[],https://twitter.com/santo_flagelo/status/1270126703382331395
Notimex,@Notimex,2020-06-08T22:49:37.000Z,"#ProgramasBienestar | Están listas para apertura 45 sucursales del Banco del Bienestar en 16 estados, dijo 
@RabinSalazar
, director general del 
@bbienestarmx
.
 Alejandro Guzmán
@Notimex_TV
• #Notimex",📷,2,3,4,['https://pbs.twimg.com/media/EaBkvQtXQAIdXD5?format=jpg&name=small'],https://twitter.com/Notimex/status/1270125859236610048
Notimex,@Notimex,2020-06-08T22:08:32.000Z,"#ProgramasBienestar | 
@LuisaAlcalde
, titular de 
@STPS_mx
, recordó que, el programa Internet Para Todos, tiene como meta tener conectada para el 2022 a la mayor parte del país. 
 TW/
@GobiernoMX
@Notimex_TV
• #Notimex",📷,,3,11,['https://pbs.twimg.com/media/EaBbVXtX0AsNFvj?format=png&name=small'],https://twitter.com/Notimex/status/1270115519207784451
SUTNOTIMEX,@sutnotimex,2020-06-08T22:06:29.000Z,"En el marco de la Junta de Gobierno de #Notimex, programada para hoy, total apoyo a nuestra dirigencia, encabezada por @AdysUrrea.  
#SutNotimex fuerte y unido.
#NiUnPasoAtrás",🙌,,13,16,"['https://pbs.twimg.com/media/EaBa0vuUcAUKbA-?format=jpg&name=small', 'https://pbs.twimg.com/media/EaBa1vZU4AAM5eL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EaBa2jwUwAAzg7C?format=jpg&name=360x360']",https://twitter.com/sutnotimex/status/1270115003828502531
Notimex TV,@Notimex_TV,2020-06-08T22:05:00.000Z," #EnVivo | «Sigue la conferencia de prensa con los avances y resultados de los #Programas de #Bienestar del 
@GobiernoMX
».
@bienestarmx
 

#Notimex_TV
#Notimex55:28
7.3K viewers
Gobierno de México
@GobiernoMX
Avances y Resultados de los #ProgramasBienestar y Reactivación Económica | 8 de junio de 2020
pscp.tv",📽,,1,3,['https://pbs.twimg.com/profile_images/1349741311553900545/KtgKEhOJ_mini.jpg'],https://twitter.com/Notimex_TV/status/1270114631755993089
Notimex TV,@Notimex_TV,2020-06-08T22:02:26.000Z,"| «Banco #BBVA cambia horario de atención al público a partir de este miércoles».   
: Alejandro Garza (@5aEdicion)
@BBVA_Mex
 
#Notimex_TV  
#Notimex",📽 🎙,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1270113857365848064/pu/img/-opuDzf1DsW1t9-s.jpg'],https://twitter.com/Notimex_TV/status/1270113986286022656
Notimex,@Notimex,2020-06-08T22:01:47.000Z,"Dereck C., el expolicía que colocó su rodilla en el cuello de #GeorgeFloyd, se presentará este lunes por primera vez ante la corte como parte del proceso para deliberar sobre su culpabilidad ante la muerte de Floyd.
  http://ow.ly/ucq850A2fPR
@Notimex_TV
 

• #Notimex",➡,,7,9,['https://pbs.twimg.com/media/EaBZyrEXgAMrl4K?format=jpg&name=900x900'],https://twitter.com/Notimex/status/1270113823270281216
"Simone/La verdad no nos hará libres,la justicia sí",,2020-06-08T21:58:51.000Z,"Todo conforme a la ley y se enteraran de todas las mentiras y corrupción de la que padece 
@Notimex
 desde el 21 de marzo de 2019 cuando Sanjuana y su gente sin preparación llegó a la Agencia de los Mexicanos #lunes #loveislove #NotimexARTICLE 19 MX-CA
@article19mex
 · Jun 8, 2020
 ARTICLE 19 reprueba el uso de la ley como un arma en contra del periodismo crítico de @AristeguiOnline y reitera su exigencia al @GobiernoMX de investigar exhaustiva y objetivamente sobre el uso de recursos públicos por parte de @Notimex para amedrentar y hostigar periodistas. twitter.com/Notimex/status…
Show this thread",🚨,,3,4,['https://pbs.twimg.com/profile_images/1370434885760950273/dRZd-kFn_mini.jpg'],https://twitter.com/Simone08519662/status/1270113083160215552
Notimex,@Notimex,2020-06-08T21:25:10.000Z," #VIDEO | «Banco BBVA (
@bbva
) cambia su horario de atención al público a partir de este miércoles».
@Notimex_TV
• #Notimex",🎥,3,6,7,['https://pbs.twimg.com/ext_tw_video_thumb/1270104519972618244/pu/img/nWYLO5zSFzaaOL6I.jpg'],https://twitter.com/Notimex/status/1270104609009422337
Notimex,@Notimex,2020-06-08T21:19:42.000Z,"La #pandemia de #COVID19 en centro y sur de #América es la más compleja del #mundo, aseguró el director del Departamento de Emergencias Sanitarias de Organización Mundial de la Salud (
@WHO
), Mike Ryan.
 http://ow.ly/EWja50A2iXa
 TW/  
@DrMikeRyan
@Notimex_TV
 

• #Notimex",➡ 📷,,2,4,['https://pbs.twimg.com/media/EaBQKP-WkAABsVD?format=jpg&name=small'],https://twitter.com/Notimex/status/1270103233260916740
Notimex,@Notimex,2020-06-08T21:19:18.000Z," #VIDEO | «Gustavo de Hoyos (
@gdehoyoswalther
) denuncia informalidad con las políticas de 
@lopezobrador_
 ante el rey de España».
@Notimex_TV
• #Notimex1:15
2.1K views",🎥,10,20,19,[],https://twitter.com/Notimex/status/1270103132585033730
Notimex TV,@Notimex_TV,2020-06-08T21:16:17.000Z," | «Manifestantes realizan daños al #Hemiciclo a Juárez durante la #marcha “Justicia para #Melanie” en la Ciudad de #México».   
@Biankguirre
 

#CDMX
#Notimex_TV  
#Notimex",📽,2,3,3,['https://pbs.twimg.com/ext_tw_video_thumb/1270102280919023618/pu/img/9HOkHupuid9oQtr2.jpg'],https://twitter.com/Notimex_TV/status/1270102373369810945
Notimex TV,@Notimex_TV,2020-06-08T21:16:10.000Z," | «Daños en mamparas afuera del #Hemiciclo a Juárez durante la #marcha “Justicia para #Melanie” en la Ciudad de #México».   
@Biankguirre
 

#CDMX
#Notimex_TV  
#Notimex",📽,1,4,8,['https://pbs.twimg.com/ext_tw_video_thumb/1270102239647092739/pu/img/VsUMbvxJcrXBPqd_.jpg'],https://twitter.com/Notimex_TV/status/1270102341400834052
Notimex,@Notimex,2020-06-08T21:15:05.000Z,"#CULTURA | Sala de lectura: «Al cielo por asalto. Por Agustín Ramos».
 http://ow.ly/iEuI50A254g
@Notimex_TV
• #Notimex",➡,,,3,['https://pbs.twimg.com/media/EaBPGgHXsAAZ7lX?format=jpg&name=small'],https://twitter.com/Notimex/status/1270102070243270656
Notimex,@Notimex,2020-06-08T20:35:03.000Z," #INFOGRAFÍA | «En #Tabasco, hallan el centro ceremonial maya más antiguo».
@Notimex_TV
• #Notimex",📈,4,21,17,['https://pbs.twimg.com/media/EaBF8HbX0AU4orb?format=jpg&name=900x900'],https://twitter.com/Notimex/status/1270091995684507650
Notimex TV,@Notimex_TV,2020-06-08T20:34:19.000Z," | «Al filo de la #muerte, los equipos de trabajo que laboran en el #Panteón Municipal de #Nezahualcóyotl continúan con el arduo trabajo de #inhumación, #cremación y #exhumación de cuerpos, algunos fallecidos a causa del #COVID19».   

#Notimex_TV  
#Notimex",📽,,,1,[],https://twitter.com/Notimex_TV/status/1270091810799603717
Notimex TV,@Notimex_TV,2020-06-08T20:33:04.000Z," | «Continúa la #marcha ""Justicia para #Melanie"" en la Ciudad de #México».   
@Biankguirre
 

#Notimex_TV  
#Notimex1:48
213 views",📽,,3,4,[],https://twitter.com/Notimex_TV/status/1270091495656370177
Notimex,@Notimex,2020-06-08T20:31:25.000Z," #VIDEO | «Seguimiento de la marcha Justicia para Melanie, encapuchados rompen cristales de un café cercano a la Glorieta de Colón».

#JusticiaParaMelanie
@Notimex_TV
• #NotimexThe media could not be played.
Reload",🎥,7,22,30,[],https://twitter.com/Notimex/status/1270091081091334145
Notimex,@Notimex,2020-06-08T20:25:03.000Z," #EXCLUSIVA | «#COVID19, reflector de vulnerabilidades: Graeme C. Clark (
@GClark_CA
), embajador de #Canadá en #México».
 http://ow.ly/M2hs50A25Fi
@Notimex_TV
• #Notimex",🎙 ➡,1,2,7,['https://pbs.twimg.com/media/EaBDpo-XsAce1Ar?format=jpg&name=small'],https://twitter.com/Notimex/status/1270089479039127554
Notimex TV,@Notimex_TV,2020-06-08T20:23:11.000Z," | «Sigue marcha “Justicia para Melanie” en la Ciudad de #México».   
@Biankguirre
 

#CDMX
#Notimex_TV  
#NotimexThe media could not be played.
Reload",📽,,6,3,[],https://twitter.com/Notimex_TV/status/1270089009843384321
Notimex,@Notimex,2020-06-08T19:50:05.000Z,"El 
@BancoMundial
 previó hoy que la economía global caerá 5.2% este año, debido a la pandemia por el coronavirus, es la peor recesión desde la Segunda Guerra Mundial y la primera desde 1870 que alcanza a tantas economías nacionales.
@Notimex_TV
• #Notimex",,,5,9,['https://pbs.twimg.com/media/EaA7pgQWAAABhuR?format=jpg&name=small'],https://twitter.com/Notimex/status/1270080680765120514
Notimex TV,@Notimex_TV,2020-06-08T19:49:51.000Z," | «El músico británico Elvis Costello (
@ElvisCostello
) compartió el vídeo lírico de su nueva canción ""No #Flag"", la que grabó en Finlandia el pasado mes de febrero con la finalidad de estar en un lugar apartado de todo y adquirir un sonido distinto».

#Notimex_TV
#Notimex",📽,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1270080548418002945/pu/img/zWazqZ4SHgwCvxUe.jpg'],https://twitter.com/Notimex_TV/status/1270080619154980865
